OTUID,265MR,263MR,261MR,264MR,262MR,26M6ScR,26M2ScR,26M14R,26M19R,26M4ScR,26CFR,26BFR,26DFR,26AFR,26EFR,26FP3R,26FP7R,26FP16R,26FP8R,26FP12R,4110MR,41JMR,41IMR,41GMR,41EMR,41M11R,41M12R,41M13R,41M14R,41M15R,41JFR,41AFR,41DFR,41FR,41FFR,41FP16R,41FP17R,41FP18R,41FP19R,41FP20R,26MVAR,26MVBR,26MVDR,26MVER,26M5R,26M2R,26M9R,26M6R,26FV1R,26FV2R,26FV3R,26FV4R,26FV5R,26H2R,26H4R,26H7R,26H8R,26H3R,41MVAR,41MVBR,41MVCR,41MVDR,41MVER,M1R,M3R,M4R,M5R,M2R,41FV1R,41FV2R,41FV3R,41FV4R,41FV5R,H31R,H32R,H33R,H34R,H35R
02627ca315fe369cf41825cb559ac0e8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fa6be2988277b340661c67858ce0ef10,0,0,2,0,51,0,0,159,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,19,0,0,0,17,0,0,8,0,0,1032,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f9350c4321a0880c83380a9616f47a9c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,35,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,11,4,0,0,9,0,0,0,0,0
090fbd7c50a784b89a9863d994ca4c34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
995d6223e82b40fe8e16f30880f8d15c,0,0,0,0,5,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,29,0,209,0,0,0,0,32,0,0,0,626,2,2,215,0,0,0,471,0,0,0,23,0,0,4,0,271,175,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
cb081bb5948f790018b39136283a3b98,2,14,430,4,14,80,11,10,5,61,0,7,3,36,57,78,70,55,0,25,12,3,3,15,2,47,1,267,2,113,2,18,4,18,5,10,520,96,650,51,0,7,160,21,94,24,3049,187,2,17,31,8,450,34,12,510,1071,3,75,9,61,8,142,68,78,99,58,112,105,25,0,79,104,121,59,164,280,26
3b346fe269394bbd8969fd00716bfaa8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,15,0,31,0,0,0,0,0,0,18,31,7,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,8,0,0
dc290fb9392c12f0912025dcbdbbd224,0,0,0,0,14,1,0,0,0,2,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,97,0,0,120,0,0,0,55,0,0,113,16,0,0,0,0,0,0,9,0,0,0,0,84,499,114,10,0,0,0,0,0,0,0,0,0,31,15,34,0,0,0,0,20,0,0,0,2
cf5d27bac4bf9f93ab6e3508c47e6ee7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
929805da29bce3a9838d81700d0a5770,0,3,109,0,8,184,2075,484,278,599,4,46,19,709,167,1917,1575,1612,2392,1136,313,171,87,419,618,2579,3,26,95,41,254,281,12,595,254,57,9223,9692,3193,5451,129,609,340,62,217,490,7317,291,24,59,415,378,68,1946,417,965,39,378,718,523,189,41,691,1883,4055,1321,1044,1049,312,382,14,296,6151,2966,3868,2281,2687,1196
4b0728eafc19e8e712a7483e055fa79a,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,6,0,20,0,0,0,0,0,0,0,0,0,0,41,25,85,0,46,39,480,12,8,14,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bfd5ba6da1d2c1bc73f39f5363066c35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
9617d5019237e05941dd26a065da9968,0,0,0,0,0,4,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,2,3,0,0,0,0,0,0,0,0,0,0,24,2,0,0,6,2,3,42,3,0,0,0,0,29,0,7,6,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2ead2ffc7bdb3f2b2d74ab9409cb691b,0,0,10,0,7,0,187,0,0,0,1,3,8,0,184,5,19,1,14,25,7,3,91,8,0,0,0,0,32,0,17,8,0,0,0,0,162,0,2,164,4,9,911,212,5,0,0,0,27,43,0,0,28,169,16,220,29,113,233,80,30,7,21,0,0,0,6,17,348,0,0,0,70,0,0,20,0,0
1928e2deabf0f50bc5e216e235cc487b,0,0,5,0,0,4,32,0,15,4,0,0,1,15,19,58,38,11,246,82,41,0,0,14,0,13,0,27,18,16,6,13,0,26,11,2,421,195,30,87,22,14,12,6,142,21,80,83,54,123,12,24,0,50,70,6,17,70,8,22,3,8,33,118,18,18,188,7,123,1,0,0,18,14,85,57,186,25
ff6daec569f11e8ecd88a1eb1f6d0678,0,0,0,0,2,4,21,7,5,15,0,5,0,0,0,35,42,26,31,20,15,4,0,3,0,2,0,0,0,0,0,1,0,0,9,0,266,70,12,200,0,4,43,10,56,66,142,5,50,29,1,40,0,150,35,0,22,5,4,2,3,0,0,18,8,38,44,0,15,0,0,0,3,9,10,18,30,0
6d338102f2433ec68358bd30f08390b3,0,0,3,0,0,0,23,0,0,0,0,0,0,0,14,0,1,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,238,318,0,0,5,37,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9cce6aabbfd925399bf1111383f9d0a5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,137,134,179,0,0,1,1,55,65,17,45,305,0,0,0,0,0,3,6,2,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31de3d22f5b19325735267725f1f49e8,0,5,659,4,26,71,0,190,50,0,0,172,15,484,163,628,554,11,19,634,159,51,13,67,209,606,0,442,99,49,725,85,1,316,76,35,3486,784,2535,369,0,0,8,32,1108,218,1517,8,5,29,0,416,396,918,113,362,102,4,666,157,716,79,2681,590,1039,742,2307,478,88,199,78,234,2405,723,1002,1603,783,708
